API Key,Key API,
API Secret,API Secret,
Address,ທີ່ຢູ່,
Amount,ຈໍານວນ,
Assigned To,ການມອບຫມາຍໃຫ້,
Assignment,ການມອບຫມາຍ,
Auth Token,Auth Token,
Color,ສີ,
Columns,ຄໍລໍາ,
Comment,ຄຳ ເຫັນ,
Completed,ສໍາເລັດ,
Condition,ສະພາບ,
Contact,ການຕິດຕໍ່,
Contacts,ຕິດຕໍ່ພົວພັນ,
Content,ເນື້ອໃນ,
Currency,ສະກຸນເງິນ,
Date,ວັນທີ່ສະຫມັກ,
Default,ມາດຕະຖານ,
Description,ລາຍລະອຽດ,
Details,ລາຍລະອຽດ,
DocType,DocType,
Document Type,ປະເພດເອກະສານ,
Due Date,ວັນຄົບກໍານົດ,
Duration,ໄລຍະເວລາ,
Email,ອີເມລ,
Enabled,ເປີດການໃຊ້ງານ,
End Date,ວັນທີ່ສິ້ນສຸດ,
Expired,ຫມົດອາຍຸແລ້ວ,
Failed,ສົບຜົນສໍາເລັດ,
Filters,ການກັ່ນຕອງ,
First Name,ຊື່ແທ້,
Friday,ສຸກ,
From,ຈາກ,
From Date,ຈາກວັນທີ່,
From User,ຈາກຜູ້ໃຊ້,
Full Name,ຊື່ເຕັມ,
Gender,ບົດບາດຍິງຊາຍ,
Group By,ກຸ່ມໂດຍ,
High,ສູງ,
ID,ID,
Icon,ໄອຄອນ,
Image,ຮູບພາບ,
In Progress,ໃນຄວາມຄືບຫນ້າ,
Is Default,ແມ່ນມາດຕະຖານ,
Is Primary,ແມ່ນປະຖົມ,
Is Standard,ແມ່ນມາດຕະຖານ,
Kanban,Kanban,
Key,ທີ່ສໍາຄັນ,
Keyboard Shortcuts,ຄີບອດ,
Label,Label,
Last Name,ນາມສະກຸນ,
Left,ໄວ້,
List,ບັນຊີລາຍຊື່,
Log,ເຂົ້າສູ່ລະບົບ,
Low,ຕ່ໍາ,
Medium,ຂະຫນາດກາງ,
Mention,ກ່າວເຖິງ,
Message,ຂໍ້ຄວາມ,
Middle Name,ຊື່ກາງ,
Mobile No,ໂທລະສັບມືຖືທີ່ບໍ່ມີ,
Monday,ຈັນ,
Naming Series,ການຕັ້ງຊື່ Series,
Note,ຫມາຍເຫດ,
Owner,ເຈົ້າຂອງ,
Pending,ທີ່ຍັງຄ້າງ,
Phone,ໂທລະສັບ,
Position,ຕໍາແຫນ່ງ,
Priority,ບູລິມະສິດ,
Public,ສາທາລະນະ,
Queued,ຄິວ,
Quick Entry,Entry ດ່ວນ,
Read,ອ່ານ,
Reference Doctype,DocType ກະສານອ້າງອີງ,
Reference Document Type,ປະເພດເອກະສານອ້າງອີງ,
Reference Name,ຊື່ເອກະສານອ້າງອີງ,
Reload,ໂຫລດ,
Right,ສິດ,
Role,ພາລະບົດບາດ,
Sales Manager,ຜູ້ຈັດການຝ່າຍຂາຍ,
Sales User,User ຂາຍ,
Salutation,ຄໍາຂຶ້ນຕົ້ນ,
Saturday,ວັນເສົາ,
Script,script,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
Source,ແຫຼ່ງຂໍ້ມູນ,
Source Name,ແຫຼ່ງຊື່,
Start Date,ວັນທີ່ເລີ່ມ,
Start Time,ທີ່ໃຊ້ເວລາເລີ່ມຕົ້ນ,
Status,ສະຖານະພາບ,
Sunday,ວັນອາທິດ,
System Manager,ຈັດການລະບົບ,
Task,ວຽກງານ,
Thursday,ວັນພະຫັດ,
Title,Title,
Title Field,ຫົວຂໍ້ພາກສະຫນາມ,
To,To,
To Date,ຈົນເຖິງວັນທີ່,
To User,ເພື່ອຜູ້ໃຊ້,
Tuesday,ວັນອັງຄານ,
Twilio Number,ຈໍານວນ Twilio,
Twilio Settings,ການຕັ້ງຄ່າ Twilio,
Type,ປະເພດ,
User,ຜູ້ໃຊ້,
User Name,ຊື່ຜູ້ໃຊ້,
Validity,ຄວາມຖືກຕ້ອງ,
View Website,ເບິ່ງເວັບໄຊທ໌,
Website,ເວັບໄຊທ໌,
Wednesday,ວັນພຸດ,
blue,ສີຟ້າ,
green,ສີຂຽວ,
list,ບັນຊີລາຍຊື່,
orange,ສີສົ້ມ,
purple,ສີມ່ວງ,
red,ສີແດງ,
yellow,ສີເຫຼືອງ,
